X [distance-from-snow] 	 Z [Snow thickness] + 
10.0	439.9473322280461
20.0	132.56209763972666
30.0	72.43271787006988
40.0	75.01549577807882
50.0	91.90146472538436
60.0	37.639314686505514
70.0	34.46072541143353
80.0	33.94312682957319
90.0	128.08721914896174
100.0	156.89182244512614
110.0	101.14729746930398
120.0	192.6403240879509
130.0	196.8613624383467
140.0	324.65224825007624
150.0	144.5279757968904
160.0	91.54997887949784
170.0	122.6586409431098
180.0	247.95243814161904
190.0	176.80949879365474
200.0	72.92490681763287
210.0	164.28886032194077
220.0	121.07122663374548
230.0	195.2315182669339
240.0	105.18239596698551
250.0	50.06239236708394
260.0	75.39370648125087
270.0	121.39968639432358
280.0	201.82686766204304
290.0	50.28126819952499
300.0	44.68276488068329
310.0	55.67199386808427
320.0	122.63197485296094
330.0	124.36421555353007
340.0	38.02392934560122
350.0	65.05870136469616
360.0	23.62942780819311
370.0	114.08413750675753
380.0	58.44123266071929
390.0	66.27235656842055
400.0	67.47423219139183
410.0	51.4452975010734
420.0	72.98947666681411
430.0	39.47955658288618
440.0	29.041153761287053
450.0	27.88417518690485
460.0	55.091085630360645
470.0	36.56187511470382
480.0	37.8478464630945
490.0	42.914223551594056
500.0	42.59735078014723
510.0	28.144800910201244
520.0	40.22573681095317
530.0	35.8955078805309
540.0	35.21865077673758
550.0	22.57270998224058
560.0	15.811916812008466
570.0	22.351937449526513
580.0	26.33563774504045
590.0	31.05997578655669
600.0	33.08605027611825
610.0	24.86087746450478
620.0	24.366719878065883
630.0	29.69922120863336
640.0	23.33540550129244
650.0	19.595954680536913
660.0	25.464418527052487
670.0	18.10253268055986
680.0	18.952531676109086
690.0	12.88989464198755
700.0	21.52542086228444
710.0	19.777602053055272
720.0	18.221372064685962
730.0	20.703073211919936
740.0	11.925605007821723
750.0	24.588857638951914
760.0	23.05445378799788
770.0	18.926534081919296
780.0	19.300222074881304
790.0	12.337154320467723
800.0	18.876810284050162
810.0	15.81749493814034
820.0	28.63756053972023
830.0	24.88662963791828
840.0	17.37380389785247
850.0	15.040287234008323
860.0	15.187547635493027
870.0	9.827515454316378
880.0	8.465188512781475
890.0	7.5099882765014385
900.0	18.820959183323893
910.0	22.761602364135303
920.0	11.731529605292033
930.0	23.59949533806745
940.0	22.6362827347564
950.0	15.526598023241478
960.0	13.254481419872533
970.0	22.98078770935544
980.0	19.044314697283298
990.0	18.896475394254093
1000.0	14.929139473750213
1010.0	18.463615820279287
1020.0	19.254536413093742
1030.0	14.473191046387473
1040.0	13.763500953586625
1050.0	21.150665614380387
1060.0	26.97392438321975
1070.0	20.411024257298997
1080.0	16.955170848143883
1090.0	16.47860053685508
1100.0	11.815405794566265
1110.0	14.561187516723724
1120.0	14.824069318432564
1130.0	24.558128308567618
1140.0	16.970540027782558
1150.0	21.763530450612432
1160.0	11.226629790269142
1170.0	31.75777575095826
1180.0	20.946756674108656
1190.0	23.075696199317758
1200.0	24.576510077764784
1210.0	15.65804586904266
1220.0	13.18188508168961
1230.0	15.55069000925732
1240.0	24.472341023107262
1250.0	29.59769762824952
1260.0	16.448092003187963
1270.0	9.947316897575478
1280.0	4.0360586029458805
1290.0	11.353911349886708
1300.0	20.12874082097372
1310.0	22.900680950233156
1320.0	19.73988139515186
1330.0	6.667943201877822
1340.0	11.207255927207484
1350.0	12.26724419137285
1360.0	14.881378259445338
1370.0	15.344184938598996
1380.0	10.106124786881944
1390.0	19.705469525881558
1400.0	4.849462310090264
1410.0	6.073832871202667
1420.0	4.688087451499615
1430.0	4.475990670778953
1440.0	5.912758420316145
1450.0	7.6139539026015
1460.0	7.333684612655118
1470.0	11.17864946013836
1480.0	5.597493424376868
1490.0	4.351155159742195
1500.0	8.693705003628137
1510.0	3.3074707734915516
1520.0	3.986348144756611
1530.0	4.221230047616962
1540.0	9.626761610417752
1550.0	6.983516787412131
1560.0	7.83481689978782
1570.0	1.8002887120733582
1580.0	6.8865667269130135
1590.0	5.49798860553523
1600.0	1.3536450569023724
1610.0	7.909956721595291
1620.0	2.683639616967914
1630.0	5.024142177350341
1640.0	8.389707853280214
1650.0	2.1053214940791194
1660.0	3.8935591448429556
1670.0	2.5724538796644394
1680.0	5.203453501667272
1690.0	2.5724829464426153
1700.0	4.066507484650549
1710.0	2.5423954266011815
1720.0	2.4230134722385386
1730.0	7.575597786535911
1740.0	4.350149434345947
1750.0	5.564765752624288
1760.0	1.5282763427235018
1770.0	2.4453763191288886
1780.0	3.6283606589067134
1790.0	3.6449561962619073
1800.0	0.0
1810.0	1.19659231549381
1820.0	5.96307015174008
1830.0	3.651032936218327
1840.0	1.8067220197060743
1850.0	4.492459055872569
1860.0	2.3096763328169967
1870.0	0.807318049042452
1880.0	3.4543341361180477
1890.0	5.679274839525957
1900.0	5.714533623027528
1910.0	2.2820102095628365
1920.0	3.2159776255718073
1930.0	0.0
1940.0	4.877289489378287
1950.0	1.0923927630747785
1960.0	1.3463445175683064
1970.0	2.1001318562656865
1980.0	1.0605265013075424
1990.0	1.7593762655153928
2000.0	2.8795867468200256
